"","KID","CaretypeBroad","Arrange97","Exp97Tot","Hours97Tot","Arrange","Hours97","Exp97"
"863",1397033,"External",NA,0,0,NA,NA,NA
"864",1397034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"865",1397037,"External",NA,0,0,NA,NA,NA
"866",1397038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"867",1398030,"External",NA,0,0,NA,NA,NA
"868",1399035,"External",NA,0,0,NA,NA,NA
"869",1399036,"External",NA,0,0,NA,NA,NA
"870",1399037,"External","Care Center",82.5,24,6,24,82.5
"871",1399038,"External",NA,0,0,NA,NA,NA
"872",1399039,"External","Care Center",6.25,2.5,6,2.5,6.25
"873",1399040,"External","Care Center",100,40,6,40,100
"874",1407032,"External","Non Relative",6,3,2,3,6
"875",1411039,"External",NA,0,0,NA,NA,NA
"876",1411043,"External",NA,0,0,NA,NA,NA
"877",1411044,"External",NA,0,0,NA,NA,NA
"878",1411045,"External",NA,0,0,NA,NA,NA
"879",1411185,"External",NA,0,0,NA,NA,NA
"880",1411186,"External",NA,0,0,NA,NA,NA
"881",1411190,"External","Relative",60,5,3,5,60
"882",1415031,"External","Care Center",40,40,6,40,40
"883",1426034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"884",1426036,"External","Relative",0,45,1,45,0
"885",1426038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"886",1426040,"External","Relative",0,45,1,45,0
"887",1430030,"External","Care Center",23.75,7,6,7,23.75
"888",1430031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"889",1431030,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"890",1432031,"External",NA,0,0,NA,NA,NA
"891",1434035,"External","Non Relative",55,50,2,50,55
"892",1445035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"893",1445037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"894",1460030,"External","Care Center",100,40,6,40,100
"895",1468033,"External",NA,0,0,NA,NA,NA
"896",1468034,"External",NA,0,0,NA,NA,NA
"897",1468035,"External","Care Center",84,21,6,21,84
"898",1473032,"External",NA,0,0,NA,NA,NA
"899",1475031,"External",NA,0,0,NA,NA,NA
"900",1475032,"External","Non Relative",35,28,4,28,35
"901",1480033,"External",NA,0,0,NA,NA,NA
"902",1480034,"External","Care Center",50,27,6,27,50
"903",1485033,"External",NA,0,0,NA,NA,NA
"904",1485034,"External","Non Relative",25,25,4,25,25
"905",1494031,"External",NA,0,0,NA,NA,NA
"906",1494032,"External",NA,0,0,NA,NA,NA
"907",1498032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"908",1498034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"909",1498035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"910",1498037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"911",1498178,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"912",1503170,"External",NA,0,0,NA,NA,NA
"913",1505030,"External",NA,0,0,NA,NA,NA
"914",1516030,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"915",1516031,"External","Care Center",23.75,6,6,6,23.75
"916",1516033,"External",NA,0,0,NA,NA,NA
"917",1516172,"External",NA,0,0,NA,NA,NA
"918",1522035,"External","Self Care",0,5,8,5,0
"919",1522036,"External",NA,0,0,NA,NA,NA
"920",1522037,"External",NA,0,0,NA,NA,NA
"921",1522038,"External",NA,0,0,NA,NA,NA
"922",1522040,"External",NA,0,0,NA,NA,NA
"923",1522041,"External",NA,0,0,NA,NA,NA
"924",1522042,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"925",1522043,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"926",1523031,"External",NA,0,0,NA,NA,NA
"927",1533032,"External",NA,0,0,NA,NA,NA
"928",1533033,"External",NA,0,0,NA,NA,NA
"929",1533034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"930",1537172,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"931",1540178,"External","Care Center",129,40,6,40,129
"932",1541036,"External",NA,0,0,NA,NA,NA
"933",1541037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"934",1541038,"External",NA,0,0,NA,NA,NA
"935",1542031,"External",NA,0,0,NA,NA,NA
"936",1542033,"External",NA,0,0,NA,NA,NA
"937",1542034,"External",NA,0,0,NA,NA,NA
"938",1542035,"External",NA,0,0,NA,NA,NA
"939",1542036,"External",NA,0,0,NA,NA,NA
"940",1542037,"External",NA,0,0,NA,NA,NA
"941",1542039,"External","Non Relative",100,6,4,6,100
"942",1542040,"External","Non Relative",120,40,4,40,120
"943",1547031,"External",NA,0,0,NA,NA,NA
"944",1547032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"945",1547033,"External",NA,0,0,NA,NA,NA
"946",1551032,"External",NA,0,0,NA,NA,NA
"947",1551037,"External","Care Center",50,40,6,40,50
"948",1559030,"External","Non Relative",150,24,2,24,150
"949",1568033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"950",1568034,"External","Care Center",0,35,6,35,0
"951",1571037,"External",NA,0,0,NA,NA,NA
"952",1571038,"External","Non Relative",50,10,4,10,50
"953",1571039,"External","Non Relative",50,10,4,10,50
"954",1571040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"955",1571181,"External",NA,0,0,NA,NA,NA
"956",1572038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"957",1572040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"958",1572041,"External",NA,0,0,NA,NA,NA
"959",1579042,"External",NA,0,0,NA,NA,NA
"960",1583031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"961",1591033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"962",1591034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"963",1591035,"External",NA,0,0,NA,NA,NA
"964",1591036,"External",NA,0,0,NA,NA,NA
"965",1597030,"External",NA,0,0,NA,NA,NA
"966",1597031,"External","Care Center",27.5,8.5,6,8.5,27.5
"967",1608032,"External",NA,0,0,NA,NA,NA
"968",1608033,"External","Care Center",78,24,6,24,78
"969",1610031,"External",NA,0,0,NA,NA,NA
"970",1611032,"External",NA,0,0,NA,NA,NA
"971",1611033,"External",NA,0,0,NA,NA,NA
"972",1611034,"External",NA,0,0,NA,NA,NA
"973",1611177,"External",NA,0,0,NA,NA,NA
"974",1612030,"External",NA,0,0,NA,NA,NA
"975",1613036,"External",NA,0,0,NA,NA,NA
"976",1613038,"External",NA,0,0,NA,NA,NA
"977",1613039,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"978",1613041,"External","Relative",0,7,3,3,0
"979",1613042,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"980",1621031,"External",NA,0,0,NA,NA,NA
"981",1621032,"External","Before/After School Prog.",55,15,7,15,55
"982",1624035,"External",NA,0,0,NA,NA,NA
"983",1624036,"External",NA,0,0,NA,NA,NA
"984",1624037,"External",NA,0,0,NA,NA,NA
"985",1627032,"External","Relative",50,26,3,26,50
"986",1628032,"External",NA,0,0,NA,NA,NA
"987",1628033,"External",NA,0,0,NA,NA,NA
"988",1632030,"External",NA,0,0,NA,NA,NA
"989",1632031,"External","Care Center",187.5,43,6,43,187.5
"990",1633174,"External","Non Relative",25,50,4,50,25
"991",1633175,"External","Non Relative",25,50,4,50,25
"992",1633178,"External",NA,0,0,NA,NA,NA
"993",1634032,"External","Relative",0,40,1,40,0
"994",1634033,"External","Relative",0,40,1,40,0
"995",1644030,"External",NA,0,0,NA,NA,NA
"996",1644032,"External","Non Relative",51,17,4,17,51
"997",1645031,"External","Non Relative",125,50,2,50,125
"998",1645032,"External","Non Relative",150,50,2,50,150
"999",1648032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1000",1648173,"External",NA,0,0,NA,NA,NA
"1001",1654031,"External",NA,0,0,NA,NA,NA
"1002",1654032,"External","Care Center",165,40,6,40,165
"1003",1663034,"External",NA,0,0,NA,NA,NA
"1004",1663036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1005",1663037,"External","Non Relative",150,35,4,25,100
"1006",1663038,"External",NA,0,0,NA,NA,NA
"1007",1663040,"External",NA,0,0,NA,NA,NA
"1008",1663041,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1009",1663042,"External",NA,0,0,NA,NA,NA
"1010",1663043,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1011",1663046,"External","Non Relative",132,22,4,22,132
"1012",1670034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1013",1670035,"External","Unkown Type",17,46,99,46,17
"1014",1670036,"External","Non Relative",17,46,4,46,17
"1015",1679030,"External",NA,0,0,NA,NA,NA
"1016",1682033,"External","Care Center",88,50,6,50,88
"1017",1682034,"External","Relative",0,20,1,20,0
"1018",1682035,"External","Relative",0,20,1,20,0
"1019",1684034,"External",NA,0,0,NA,NA,NA
"1020",1684035,"External",NA,0,0,NA,NA,NA
"1021",1684036,"External",NA,0,0,NA,NA,NA
"1022",1684037,"External",NA,0,0,NA,NA,NA
"1023",1687031,"External",NA,0,0,NA,NA,NA
"1024",1690033,"External",NA,0,0,NA,NA,NA
"1025",1690034,"External",NA,0,0,NA,NA,NA
"1026",1690035,"External",NA,0,0,NA,NA,NA
"1027",1690036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1028",1690172,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1029",1690173,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1030",1692038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1031",1692039,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1032",1692040,"External",NA,0,0,NA,NA,NA
"1033",1695045,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1034",1695046,"External",NA,0,0,NA,NA,NA
"1035",1695047,"External","Care Center",73,40,6,40,73
"1036",1695048,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1037",1695050,"External","Care Center",90,8.5,6,8.5,90
"1038",1695051,"External","Care Center",90,40,6,40,90
"1039",1695052,"External","Care Center",115,25,6,25,115
"1040",1695054,"External","Non Relative",50,43,4,43,50
"1041",1695064,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1042",1695199,"External",NA,0,0,NA,NA,NA
"1043",1697044,"External",NA,0,0,NA,NA,NA
"1044",1697045,"External",NA,0,0,NA,NA,NA
"1045",1697046,"External","Relative",0,40,3,40,0
"1046",1697047,"External","Relative",0,40,3,40,0
"1047",1697048,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1048",1697049,"External","Relative",0,18,1,18,0
"1049",1698031,"External",NA,0,0,NA,NA,NA
"1050",1698173,"External","Care Center",85,25,6,15,65
"1051",1700036,"External",NA,0,0,NA,NA,NA
"1052",1700038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1053",1700039,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1054",1700180,"External","Non Relative",50,45,4,45,50
"1055",1701032,"External",NA,0,0,NA,NA,NA
"1056",1701033,"External",NA,0,0,NA,NA,NA
"1057",1701034,"External","Care Center",81.25,50,6,50,81.25
"1058",1701035,"External","Relative",50,40,3,40,50
"1059",1701036,"External","Relative",25,40,3,40,25
"1060",1709183,"External",NA,0,0,NA,NA,NA
"1061",1709184,"External",NA,0,0,NA,NA,NA
"1062",1720178,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1063",1722037,"External",NA,0,0,NA,NA,NA
"1064",1722038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1065",1722040,"External","Relative",50,24,3,24,50
"1066",1722184,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1067",1722185,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1068",1731031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1069",1731032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1070",1731033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1071",1731035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1072",1732030,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1073",1732031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1074",1738032,"External","Head Start",0,25,5,25,0
"1075",1738033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1076",1740032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1077",1750031,"External","Non Relative",100,50,4,50,100
"1078",1758033,"External",NA,0,0,NA,NA,NA
"1079",1758034,"External",NA,0,0,NA,NA,NA
"1080",1758035,"External",NA,0,0,NA,NA,NA
"1081",1758036,"External",NA,0,0,NA,NA,NA
"1082",1762040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1083",1762041,"External",NA,0,0,NA,NA,NA
"1084",1762042,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1085",1762043,"External",NA,0,0,NA,NA,NA
"1086",1762044,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1087",1762045,"External","Non Relative",20,3.5,4,3.5,20
"1088",1763035,"External",NA,0,0,NA,NA,NA
"1089",1763036,"External",NA,0,0,NA,NA,NA
"1090",1763038,"External",NA,0,0,NA,NA,NA
"1091",1763040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1092",1767032,"External",NA,0,0,NA,NA,NA
"1093",1767033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1094",1775033,"External",NA,0,0,NA,NA,NA
"1095",1775035,"External",NA,0,0,NA,NA,NA
"1096",1775036,"External",NA,0,0,NA,NA,NA
"1097",1775037,"External","Care Center",28,9,6,9,28
"1098",1775038,"External",NA,0,0,NA,NA,NA
"1099",1775039,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1100",1782033,"External",NA,0,0,NA,NA,NA
"1101",1782034,"External",NA,0,0,NA,NA,NA
"1102",1782035,"External","Non Relative",50,40,4,40,50
"1103",1782175,"External",NA,0,0,NA,NA,NA
"1104",1783030,"External",NA,0,0,NA,NA,NA
"1105",1783170,"External",NA,0,0,NA,NA,NA
"1106",1784033,"External",NA,0,0,NA,NA,NA
"1107",1784035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1108",1786045,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1109",1786047,"External",NA,0,0,NA,NA,NA
"1110",1786048,"External","Non Relative",30,24,4,24,30
"1111",1786049,"External",NA,0,0,NA,NA,NA
"1112",1786050,"External","Care Center",40,32,6,32,40
"1113",1787035,"External",NA,0,0,NA,NA,NA
"1114",1794032,"External","Non Relative",75,35,4,35,75
"1115",1795033,"External","Relative",0,40,3,40,0
"1116",1798039,"External",NA,0,0,NA,NA,NA
"1117",1798040,"External","Non Relative",35,40,4,40,35
"1118",1798041,"External","Care Center",78,50,6,50,78
"1119",1799038,"External",NA,0,0,NA,NA,NA
"1120",1799039,"External","Non Relative",25,40,4,40,25
"1121",1802033,"External",NA,0,0,NA,NA,NA
"1122",1803030,"External",NA,0,0,NA,NA,NA
"1123",1803031,"External",NA,0,0,NA,NA,NA
"1124",1805033,"External",NA,0,0,NA,NA,NA
"1125",1805034,"External",NA,0,0,NA,NA,NA
"1126",1805175,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1127",1807035,"External",NA,0,0,NA,NA,NA
"1128",1807037,"External","Non Relative",30,16,4,16,30
"1129",1810043,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1130",1813032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1131",1822034,"External",NA,0,0,NA,NA,NA
"1132",1823033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1133",1823034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1134",1824176,"External",NA,0,0,NA,NA,NA
"1135",1830033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1136",1830034,"External",NA,0,0,NA,NA,NA
"1137",1837034,"External",NA,0,0,NA,NA,NA
"1138",1837035,"External","Care Center",10,5,6,5,10
"1139",1839034,"External","Non Relative",30,12,4,12,30
"1140",1839035,"External",NA,0,0,NA,NA,NA
"1141",1839036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1142",1839038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1143",1841035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1144",1841036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1145",1841037,"External","Non Relative",152.5,49,4,40,125
"1146",1841039,"External","Non Relative",125,40,4,40,125
"1147",1845030,"External",NA,0,0,NA,NA,NA
"1148",1845031,"External",NA,0,0,NA,NA,NA
"1149",1850033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1150",1850034,"External",NA,0,0,NA,NA,NA
"1151",1852032,"External","Non Relative",55,40,4,40,55
"1152",1859031,"External",NA,0,0,NA,NA,NA
"1153",1859033,"External","Care Center",190,40,6,20,90
"1154",1862032,"External","Non Relative",115,40,2,40,115
"1155",1862033,"External","Non Relative",115,40,2,40,115
"1156",1862173,"External",NA,0,0,NA,NA,NA
"1157",1866032,"External",NA,0,0,NA,NA,NA
"1158",1866033,"External",NA,0,0,NA,NA,NA
"1159",1866034,"External","Care Center",105,40,6,40,105
"1160",1867033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1161",1867034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1162",1877176,"External",NA,0,0,NA,NA,NA
"1163",1878033,"External",NA,0,0,NA,NA,NA
"1164",1878034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1165",1879032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1166",1879033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1167",1887037,"External","Relative",0,5,1,5,0
"1168",1893034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1169",1893035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1170",1893036,"External","Non Relative",75,40,4,40,75
"1171",1893037,"External","Non Relative",75,40,4,40,75
"1172",1893038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1173",1897030,"External",NA,0,0,NA,NA,NA
"1174",1898030,"External","Care Center",288,110,6,40,101
"1175",1901031,"External",NA,0,0,NA,NA,NA
"1176",1901172,"External",NA,0,0,NA,NA,NA
"1177",1905031,"External","Non Relative",35,9,4,9,35
"1178",1905032,"External","Care Center",30,21,6,21,30
"1179",1905033,"External","Non Relative",36,30,4,30,36
"1180",1906031,"External","Relative",0,NA,3,NA,0
"1181",1908032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1182",1908033,"External","Care Center",100,40,6,40,100
"1183",1909030,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1184",1909031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1185",1911033,"External",NA,0,0,NA,NA,NA
"1186",1911034,"External",NA,0,0,NA,NA,NA
"1187",1911035,"External","Care Center",20,9,6,9,20
"1188",1914032,"External",NA,0,0,NA,NA,NA
"1189",1914033,"External","Non Relative",40,6,2,6,40
"1190",1915030,"External",NA,0,0,NA,NA,NA
"1191",1915031,"External","Before/After School Prog.",20,10,7,10,20
"1192",1915032,"External","Relative",30,37.5,3,37.5,30
"1193",1917030,"External",NA,0,0,NA,NA,NA
"1194",1917031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1195",1917032,"External",NA,0,0,NA,NA,NA
"1196",1917033,"External",NA,0,0,NA,NA,NA
"1197",1917034,"External","Non Relative",45,28.5,2,28.5,45
"1198",1918033,"External",NA,0,0,NA,NA,NA
"1199",1919037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1200",1919038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1201",1919040,"External","Relative",90,40,3,40,90
"1202",1919041,"External","Care Center",58,40,6,40,58
"1203",1919043,"External",NA,0,0,NA,NA,NA
"1204",1919044,"External","Non Relative",160,25,4,25,160
"1205",1919045,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1206",1919046,"External","Non Relative",177,27,4,27,177
"1207",1920032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1208",1920033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1209",1925031,"External",NA,0,0,NA,NA,NA
"1210",1926031,"External","Care Center",90,8,6,8,90
"1211",1926032,"External","Non Relative",60,12,4,12,60
"1212",1926033,"External","Non Relative",100,8,4,8,100
"1213",1928030,"External","Care Center",135,25,6,25,135
"1214",1930034,"External",NA,0,0,NA,NA,NA
"1215",1930035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1216",1932035,"External","Care Center",78,40,6,40,78
"1217",1935172,"External",NA,0,0,NA,NA,NA
"1218",1935173,"External",NA,0,0,NA,NA,NA
"1219",1945032,"External","Relative",50,40,3,40,50
"1220",1947030,"External",NA,0,0,NA,NA,NA
"1221",1947031,"External",NA,0,0,NA,NA,NA
"1222",1947032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1223",1954030,"External",NA,0,0,NA,NA,NA
"1224",1954031,"External",NA,0,0,NA,NA,NA
"1225",1954033,"External","Relative",75,40,3,40,75
"1226",1954171,"External","Relative",2,40,3,40,2
"1227",1955030,"External","Care Center",36.25,17.5,6,17.5,36.25
"1228",1956030,"External","Care Center",118,45,6,45,118
"1229",1959031,"External",NA,0,0,NA,NA,NA
"1230",1959032,"External",NA,0,0,NA,NA,NA
"1231",1960032,"External","Non Relative",150,15,2,15,150
"1232",1960178,"External",NA,0,0,NA,NA,NA
"1233",1960179,"External",NA,0,0,NA,NA,NA
"1234",1962030,"External",NA,0,0,NA,NA,NA
"1235",1962031,"External",NA,0,0,NA,NA,NA
"1236",1965031,"External",NA,0,0,NA,NA,NA
"1237",1969032,"External","Care Center",13,9,6,9,13
"1238",1969033,"External","Non Relative",16,6,4,6,16
"1239",1970032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1240",1971033,"External",NA,0,0,NA,NA,NA
"1241",1975032,"External",NA,0,0,NA,NA,NA
"1242",1975033,"External","Care Center",12.5,9,6,9,12.5
"1243",1978031,"External","Non Relative",70,45,4,45,70
"1244",1985030,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1245",1994177,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1246",1994178,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1247",2004035,"External",NA,0,0,NA,NA,NA
"1248",2004036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1249",2006177,"External",NA,0,0,NA,NA,NA
"1250",2006178,"External",NA,0,0,NA,NA,NA
"1251",2011033,"External","Relative",0,5,1,5,0
"1252",2011034,"External",NA,0,0,NA,NA,NA
"1253",2011035,"External","Care Center",0,40,6,40,0
"1254",2012032,"External","Care Center",25,6,6,6,25
"1255",2012033,"External","Non Relative",10.5,3,4,3,10.5
"1256",2012034,"External","Non Relative",0,6,4,6,0
"1257",2013174,"External",NA,0,0,NA,NA,NA
"1258",2016031,"External",NA,0,0,NA,NA,NA
"1259",2016032,"External",NA,0,0,NA,NA,NA
"1260",2016033,"External","Care Center",75,46,6,16,0
"1261",2017032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1262",2019031,"External",NA,0,0,NA,NA,NA
"1263",2019032,"External","Care Center",145,45,6,45,145
"1264",2022030,"External",NA,0,0,NA,NA,NA
"1265",2022031,"External",NA,0,0,NA,NA,NA
"1266",2028032,"External","Care Center",51,20,6,10,51
"1267",2030037,"External",NA,0,0,NA,NA,NA
"1268",2030038,"External",NA,0,0,NA,NA,NA
"1269",2030039,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1270",2030040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1271",2030041,"External",NA,0,0,NA,NA,NA
"1272",2032035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1273",2032037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1274",2032040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1275",2032041,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1276",2033030,"External","Care Center",15,30,6,30,15
"1277",2034031,"External",NA,0,0,NA,NA,NA
"1278",2034033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1279",2034034,"External","Care Center",60,45,6,45,60
"1280",2047030,"External",NA,0,0,NA,NA,NA
"1281",2047031,"External",NA,0,0,NA,NA,NA
"1282",2050031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1283",2050032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1284",2051034,"External","Care Center",17.5,10,6,10,17.5
"1285",2051035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1286",2053031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1287",2053032,"External",NA,0,0,NA,NA,NA
"1288",2053033,"External",NA,0,0,NA,NA,NA
"1289",2054030,"External",NA,0,0,NA,NA,NA
"1290",2054031,"External",NA,0,0,NA,NA,NA
"1291",2055030,"External",NA,0,0,NA,NA,NA
"1292",2055031,"External","Non Relative",20,5,2,5,20
"1293",2055032,"External",NA,0,0,NA,NA,NA
"1294",2055033,"External",NA,0,0,NA,NA,NA
"1295",2055034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1296",2056034,"External",NA,0,0,NA,NA,NA
"1297",2059033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1298",2060030,"External","Before/After School Prog.",47.5,15,7,15,47.5
"1299",2061031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1300",2061032,"External","Non Relative",65,45,4,45,65
"1301",2061183,"External",NA,0,0,NA,NA,NA
"1302",2067036,"External","Non Relative",10,4,2,4,10
"1303",2067037,"External","Non Relative",12,4,2,4,12
"1304",2067038,"External","Non Relative",80,9.5,4,9.5,80
"1305",2073033,"External",NA,0,0,NA,NA,NA
"1306",2073034,"External","Relative",0,70,1,70,0
"1307",2075177,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1308",2080031,"External",NA,0,0,NA,NA,NA
"1309",2080032,"External","Relative",50,35,1,30,45
"1310",2083030,"External","Non Relative",60,40,4,40,60
"1311",2083031,"External","Non Relative",45,40,4,40,45
"1312",2083172,"External",NA,0,0,NA,NA,NA
"1313",2083173,"External",NA,0,0,NA,NA,NA
"1314",2086031,"External",NA,0,0,NA,NA,NA
"1315",2086033,"External","Before/After School Prog.",105,21,7,18,90
"1316",2088031,"External",NA,0,0,NA,NA,NA
"1317",2095032,"External",NA,0,0,NA,NA,NA
"1318",2095033,"External","Non Relative",20,16,4,16,20
"1319",2106031,"External",NA,0,0,NA,NA,NA
"1320",2106032,"External","Relative",0,4,3,4,0
"1321",2106033,"External","Care Center",100,9,6,9,100
"1322",2108031,"External",NA,0,0,NA,NA,NA
"1323",2108032,"External",NA,0,0,NA,NA,NA
"1324",2108033,"External","Non Relative",200,40,4,40,200
"1325",2108034,"External","Non Relative",200,40,4,40,200
"1326",2108178,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1327",2108179,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
